source_row_id,latitude,longitude,lat_grid,lon_grid,acq_date,acq_time,acq_datetime,confidence_raw,satellite,instrument,daynight,osm_query_status,in_mainland_india,frp,confidence,historical_count,historical_frp_mean,historical_frp_max,persistence_days,industrial_distance,residential_distance,road_distance,frp_zscore,persistence_ratio,has_baseline,bright_ti4,bright_ti5,brightness_difference,scan,track,is_night,hour,day_of_week,near_industrial,near_agriculture,near_forest,near_residential,near_commercial,osm_queried
168,8.17748,80.58276,8.18,80.58,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,not_queried,True,9.25,0,0.0,0.0,0.0,0.0,,,,,0.0,False,348.04,300.32,47.72000000000003,0.4,0.37,0,8,5,0,0,0,0,0,0
169,8.20892,80.69186,8.21,80.69,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,not_queried,True,2.02,0,1.0,4.09,4.09,1.0,,,,,1.0,True,336.14,302.3,33.839999999999975,0.4,0.37,0,8,5,0,0,0,0,0,0
170,8.21024,80.58482,8.21,80.58,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,not_queried,True,8.22,0,0.0,0.0,0.0,0.0,,,,,0.0,False,345.91,302.97,42.94,0.4,0.37,0,8,5,0,0,0,0,0,0
171,8.22299,80.97707,8.22,80.98,2026-09-05,813,2026-09-05 08:13:00,l,N,VIIRS,D,not_queried,True,2.02,1,0.0,0.0,0.0,0.0,,,,,0.0,False,331.74,301.75,29.99000000000001,0.41,0.37,0,8,5,0,0,0,0,0,0
172,8.2587,80.32465,8.26,80.32,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,not_queried,True,5.93,0,0.0,0.0,0.0,0.0,,,,,0.0,False,348.78,304.4,44.379999999999995,0.39,0.36,0,8,5,0,0,0,0,0,0
173,8.35222,80.17999,8.35,80.18,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,not_queried,True,1.91,0,0.0,0.0,0.0,0.0,,,,,0.0,False,330.97,300.46,30.510000000000048,0.39,0.36,0,8,5,0,0,0,0,0,0
174,8.35447,80.55137,8.35,80.55,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,not_queried,True,3.72,0,0.0,0.0,0.0,0.0,,,,,0.0,False,339.14,301.68,37.45999999999998,0.4,0.37,0,8,5,0,0,0,0,0,0
175,8.36094,80.59453,8.36,80.59,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,not_queried,True,1.93,0,0.0,0.0,0.0,0.0,,,,,0.0,False,333.82,299.3,34.51999999999998,0.4,0.37,0,8,5,0,0,0,0,0,0
176,8.3665,80.20679,8.37,80.21,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,not_queried,True,6.99,0,0.0,0.0,0.0,0.0,,,,,0.0,False,336.98,303.26,33.72000000000003,0.39,0.36,0,8,5,0,0,0,0,0,0
177,8.36862,80.22093,8.37,80.22,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,not_queried,True,3.3,0,1.0,3.25,3.25,1.0,,,,,1.0,True,342.21,302.87,39.339999999999975,0.39,0.36,0,8,5,0,0,0,0,0,0
178,8.37896,80.17594,8.38,80.18,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,not_queried,True,22.11,0,1.0,1.57,1.57,1.0,,,,,1.0,True,350.32,306.7,43.620000000000005,0.39,0.36,0,8,5,0,0,0,0,0,0
179,8.3856,81.01615,8.39,81.02,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,not_queried,True,6.27,0,0.0,0.0,0.0,0.0,,,,,0.0,False,337.54,303.06,34.48000000000002,0.41,0.37,0,8,5,0,0,0,0,0,0
180,8.38724,81.02727,8.39,81.03,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,not_queried,True,6.44,0,0.0,0.0,0.0,0.0,,,,,0.0,False,340.75,303.11,37.639999999999986,0.41,0.37,0,8,5,0,0,0,0,0,0
181,8.39266,80.28991,8.39,80.29,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,not_queried,True,7.05,0,0.0,0.0,0.0,0.0,,,,,0.0,False,336.13,302.91,33.21999999999997,0.39,0.36,0,8,5,0,0,0,0,0,0
182,8.39913,81.03686,8.4,81.04,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,not_queried,True,6.81,0,0.0,0.0,0.0,0.0,,,,,0.0,False,337.34,301.82,35.51999999999998,0.41,0.37,0,8,5,0,0,0,0,0,0
183,8.39956,81.06335,8.4,81.06,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,not_queried,True,4.22,0,2.0,6.705,8.74,1.0,,,,-0.8634694600730077,1.0,True,337.71,305.24,32.46999999999997,0.41,0.37,0,8,5,0,0,0,0,0,0
184,8.40004,80.43096,8.4,80.43,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,not_queried,True,3.92,0,0.0,0.0,0.0,0.0,,,,,0.0,False,341.79,304.88,36.910000000000025,0.39,0.37,0,8,5,0,0,0,0,0,0
185,8.4001,80.62553,8.4,80.63,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,not_queried,True,3.19,0,1.0,8.98,8.98,1.0,,,,,1.0,True,333.85,302.28,31.57000000000005,0.4,0.37,0,8,5,0,0,0,0,0,0
186,8.4034,80.43046,8.4,80.43,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,not_queried,True,3.92,0,0.0,0.0,0.0,0.0,,,,,0.0,False,335.43,301.29,34.139999999999986,0.39,0.37,0,8,5,0,0,0,0,0,0
187,8.42385,80.38354,8.42,80.38,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,not_queried,True,2.61,0,0.0,0.0,0.0,0.0,,,,,0.0,False,336.19,298.5,37.69,0.39,0.36,0,8,5,0,0,0,0,0,0
188,8.42556,80.46367,8.43,80.46,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,not_queried,True,7.39,0,0.0,0.0,0.0,0.0,,,,,0.0,False,334.67,299.03,35.64000000000004,0.4,0.37,0,8,5,0,0,0,0,0,0
189,8.42615,80.84453,8.43,80.84,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,not_queried,True,7.49,0,0.0,0.0,0.0,0.0,,,,,0.0,False,338.86,298.15,40.710000000000036,0.4,0.37,0,8,5,0,0,0,0,0,0
190,8.42892,80.46317,8.43,80.46,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,not_queried,True,7.39,0,0.0,0.0,0.0,0.0,,,,,0.0,False,345.61,299.11,46.5,0.4,0.37,0,8,5,0,0,0,0,0,0
191,8.42995,80.56219,8.43,80.56,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,not_queried,True,2.51,0,0.0,0.0,0.0,0.0,,,,,0.0,False,336.8,301.89,34.910000000000025,0.4,0.37,0,8,5,0,0,0,0,0,0
192,8.43594,80.67204,8.44,80.67,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,not_queried,True,11.39,0,0.0,0.0,0.0,0.0,,,,,0.0,False,349.64,306.12,43.51999999999998,0.4,0.37,0,8,5,0,0,0,0,0,0
193,8.44271,81.0949,8.44,81.09,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,not_queried,True,3.43,0,0.0,0.0,0.0,0.0,,,,,0.0,False,337.25,301.34,35.910000000000025,0.41,0.37,0,8,5,0,0,0,0,0,0
194,8.44327,81.09863,8.44,81.1,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,not_queried,True,7.92,0,0.0,0.0,0.0,0.0,,,,,0.0,False,348.69,302.78,45.910000000000025,0.41,0.37,0,8,5,0,0,0,0,0,0
195,8.44974,80.17898,8.45,80.18,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,not_queried,True,4.47,0,0.0,0.0,0.0,0.0,,,,,0.0,False,334.5,303.2,31.30000000000001,0.39,0.36,0,8,5,0,0,0,0,0,0
196,8.4546,80.6581,8.45,80.66,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,not_queried,True,5.8,0,0.0,0.0,0.0,0.0,,,,,0.0,False,340.29,302.7,37.59000000000003,0.4,0.37,0,8,5,0,0,0,0,0,0
197,8.46284,80.50578,8.46,80.51,2026-09-05,813,2026-09-05 08:13:00,l,N,VIIRS,D,not_queried,True,3.0,1,0.0,0.0,0.0,0.0,,,,,0.0,False,333.56,303.84,29.720000000000027,0.4,0.37,0,8,5,0,0,0,0,0,0
198,8.46325,80.80936,8.46,80.81,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,not_queried,True,10.92,0,0.0,0.0,0.0,0.0,,,,,0.0,False,343.07,301.59,41.48000000000002,0.4,0.37,0,8,5,0,0,0,0,0,0
199,8.46393,80.79059,8.46,80.79,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,not_queried,True,6.6,0,0.0,0.0,0.0,0.0,,,,,0.0,False,335.48,303.0,32.48000000000002,0.4,0.37,0,8,5,0,0,0,0,0,0
200,8.46437,81.0993,8.46,81.1,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,not_queried,True,7.32,0,0.0,0.0,0.0,0.0,,,,,0.0,False,345.65,303.22,42.42999999999995,0.41,0.37,0,8,5,0,0,0,0,0,0
201,8.47132,80.49349,8.47,80.49,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,not_queried,True,1.59,0,0.0,0.0,0.0,0.0,,,,,0.0,False,330.69,299.93,30.75999999999999,0.4,0.37,0,8,5,0,0,0,0,0,0
202,8.47204,80.65918,8.47,80.66,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,not_queried,True,3.54,0,0.0,0.0,0.0,0.0,,,,,0.0,False,335.56,300.54,35.01999999999998,0.4,0.37,0,8,5,0,0,0,0,0,0
203,8.47329,80.8303,8.47,80.83,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,not_queried,True,6.05,0,1.0,9.47,9.47,1.0,,,,,1.0,True,340.45,303.19,37.25999999999999,0.4,0.37,0,8,5,0,0,0,0,0,0
204,8.47468,80.49299,8.47,80.49,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,not_queried,True,1.59,0,0.0,0.0,0.0,0.0,,,,,0.0,False,331.38,297.98,33.39999999999998,0.4,0.37,0,8,5,0,0,0,0,0,0
205,8.47522,80.49657,8.48,80.5,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,not_queried,True,2.37,0,0.0,0.0,0.0,0.0,,,,,0.0,False,336.32,298.53,37.79000000000002,0.4,0.37,0,8,5,0,0,0,0,0,0
206,8.47708,80.76251,8.48,80.76,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,not_queried,True,4.67,0,0.0,0.0,0.0,0.0,,,,,0.0,False,336.0,302.42,33.579999999999984,0.4,0.37,0,8,5,0,0,0,0,0,0
207,8.47913,80.79951,8.48,80.8,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,not_queried,True,3.7,0,0.0,0.0,0.0,0.0,,,,,0.0,False,338.11,302.95,35.160000000000025,0.4,0.37,0,8,5,0,0,0,0,0,0
208,8.48008,80.82928,8.48,80.83,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,not_queried,True,3.04,0,2.0,8.105,9.47,1.0,,,,-2.6238064811061266,1.0,True,333.44,302.33,31.110000000000014,0.4,0.37,0,8,5,0,0,0,0,0,0
209,8.48063,80.83294,8.48,80.83,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,not_queried,True,3.04,0,2.0,8.105,9.47,1.0,,,,-2.6238064811061266,1.0,True,337.24,302.32,34.920000000000016,0.4,0.37,0,8,5,0,0,0,0,0,0
210,8.48482,80.79119,8.48,80.79,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,not_queried,True,4.38,0,0.0,0.0,0.0,0.0,,,,,0.0,False,339.67,303.73,35.94,0.4,0.37,0,8,5,0,0,0,0,0,0
211,8.48918,80.82043,8.49,80.82,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,not_queried,True,6.89,0,1.0,11.16,11.16,1.0,,,,,1.0,True,342.09,301.21,40.879999999999995,0.4,0.37,0,8,5,0,0,0,0,0,0
212,8.49118,80.76411,8.49,80.76,2026-09-05,813,2026-09-05 08:13:00,l,N,VIIRS,D,not_queried,True,5.13,1,0.0,0.0,0.0,0.0,,,,,0.0,False,334.93,305.63,29.30000000000001,0.4,0.37,0,8,5,0,0,0,0,0,0
213,8.49469,80.74122,8.49,80.74,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,not_queried,True,8.76,0,0.0,0.0,0.0,0.0,,,,,0.0,False,343.3,304.19,39.110000000000014,0.4,0.37,0,8,5,0,0,0,0,0,0
214,8.49523,80.74486,8.5,80.74,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,not_queried,True,12.18,0,0.0,0.0,0.0,0.0,,,,,0.0,False,353.16,304.75,48.410000000000025,0.4,0.37,0,8,5,0,0,0,0,0,0
215,8.49961,80.21492,8.5,80.21,2026-09-05,813,2026-09-05 08:13:00,l,N,VIIRS,D,not_queried,True,3.06,1,0.0,0.0,0.0,0.0,,,,,0.0,False,333.2,303.29,29.909999999999968,0.39,0.36,0,8,5,0,0,0,0,0,0
216,8.50354,80.66186,8.5,80.66,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,not_queried,True,4.53,0,0.0,0.0,0.0,0.0,,,,,0.0,False,336.63,299.62,37.00999999999999,0.4,0.37,0,8,5,0,0,0,0,0,0
217,8.50431,80.62106,8.5,80.62,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,not_queried,True,2.91,0,0.0,0.0,0.0,0.0,,,,,0.0,False,337.01,304.53,32.48000000000002,0.4,0.37,0,8,5,0,0,0,0,0,0
218,8.50867,80.7652,8.51,80.77,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,not_queried,True,3.84,0,0.0,0.0,0.0,0.0,,,,,0.0,False,341.02,304.22,36.799999999999955,0.4,0.37,0,8,5,0,0,0,0,0,0
219,8.51206,80.76469,8.51,80.76,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,not_queried,True,3.0,0,1.0,2.0,2.0,1.0,,,,,1.0,True,338.72,301.96,36.76000000000005,0.4,0.37,0,8,5,0,0,0,0,0,0
220,8.51689,80.82001,8.52,80.82,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,not_queried,True,5.01,0,0.0,0.0,0.0,0.0,,,,,0.0,False,336.92,305.62,31.30000000000001,0.4,0.37,0,8,5,0,0,0,0,0,0
221,8.52262,80.27681,8.52,80.28,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,not_queried,True,4.82,0,0.0,0.0,0.0,0.0,,,,,0.0,False,343.17,303.9,39.27000000000004,0.39,0.36,0,8,5,0,0,0,0,0,0
222,8.52282,80.41543,8.52,80.42,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,not_queried,True,15.94,0,0.0,0.0,0.0,0.0,,,,,0.0,False,345.24,303.8,41.44,0.39,0.37,0,8,5,0,0,0,0,0,0
223,8.53777,80.77148,8.54,80.77,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,not_queried,True,3.59,0,0.0,0.0,0.0,0.0,,,,,0.0,False,334.33,302.82,31.50999999999999,0.4,0.37,0,8,5,0,0,0,0,0,0
224,8.53882,80.85044,8.54,80.85,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,not_queried,True,4.79,0,0.0,0.0,0.0,0.0,,,,,0.0,False,338.61,303.78,34.83000000000004,0.4,0.37,0,8,5,0,0,0,0,0,0
225,8.54884,80.63599,8.55,80.64,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,not_queried,True,2.2,0,0.0,0.0,0.0,0.0,,,,,0.0,False,332.68,302.05,30.629999999999995,0.4,0.37,0,8,5,0,0,0,0,0,0
226,8.54917,80.75482,8.55,80.75,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,not_queried,True,10.97,0,0.0,0.0,0.0,0.0,,,,,0.0,False,349.24,306.18,43.06,0.4,0.37,0,8,5,0,0,0,0,0,0
227,8.55502,80.72415,8.56,80.72,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,not_queried,True,5.26,0,0.0,0.0,0.0,0.0,,,,,0.0,False,342.86,304.07,38.79000000000002,0.4,0.37,0,8,5,0,0,0,0,0,0
